#r          c           twist       t/c         t           dc/dr       dtwist/dr   d(t/c)/dr   dt/dr       c''         twist''     
 2.4500e-01  1.0000e-01  9.5625e+00     21.0000      0.0210 -5.5012e-03  1.4287e+01 -7.5654e+00 -8.7144e-03 -1.3033e+00 -1.1806e+03 
 2.6000e-01  9.9917e-02  9.7768e+00     20.8865      0.0209 -2.5051e-02 -3.4224e+00 -1.5014e+01 -2.0143e-02 -1.8072e+00 -1.1491e+03 
 2.8000e-01  9.9123e-02  9.4427e+00     20.4745      0.0203 -6.8754e-02 -2.5930e+01 -2.4860e+01 -3.8516e-02 -2.4843e+00 -8.5391e+02 
 3.0000e-01  9.7167e-02  8.7396e+00     19.8921      0.0193 -1.2442e-01 -3.7579e+01 -3.0265e+01 -5.3968e-02 -2.7255e+00 -2.3331e+02 
 3.2000e-01  9.4146e-02  7.9396e+00     19.2639      0.0181 -1.7777e-01 -3.5263e+01 -2.9125e+01 -6.0557e-02 -1.0858e+00  1.9370e+02 
 3.6000e-01  8.6501e-02  6.6238e+00     18.1446      0.0157 -1.8957e-01 -2.5956e+01 -2.4050e+01 -5.5514e-02  8.1739e-02  2.6180e+02 
 4.0000e-01  7.8980e-02  5.8631e+00     17.3399      0.0137 -1.7124e-01 -1.4318e+01 -1.6711e+01 -4.3236e-02  6.7869e-01  2.2946e+02 
 4.4000e-01  7.2802e-02  5.4784e+00     16.8077      0.0122 -1.3528e-01 -7.5996e+00 -1.0906e+01 -3.0891e-02  8.9982e-01  1.1120e+02 
 4.8000e-01  6.8158e-02  5.2551e+00     16.4674      0.0112 -9.9250e-02 -5.4227e+00 -6.8984e+00 -2.1156e-02  8.3163e-01  1.7370e+01 
 5.2000e-01  6.4862e-02  5.0446e+00     16.2559      0.0105 -6.8747e-02 -6.2100e+00 -4.2237e+00 -1.3967e-02  6.8173e-01 -4.0442e+01 
 5.6000e-01  6.2658e-02  4.7583e+00     16.1295      0.0101 -4.4711e-02 -8.6581e+00 -2.4707e+00 -8.7824e-03  5.2455e-01 -6.9666e+01 
 6.0000e-01  6.1285e-02  4.3519e+00     16.0582      0.0098 -2.6783e-02 -1.1783e+01 -1.3462e+00 -5.1346e-03  3.8184e-01 -7.5426e+01 
 6.4000e-01  6.0516e-02  3.8156e+00     16.0218      0.0097 -1.4164e-02 -1.4692e+01 -6.5311e-01 -2.6674e-03  2.5791e-01 -5.8940e+01 
 6.8000e-01  6.0152e-02  3.1765e+00     16.0060      0.0096 -6.1500e-03 -1.6498e+01 -2.6151e-01 -1.1423e-03  1.5342e-01 -2.6907e+01 
 7.2000e-01  6.0024e-02  2.4958e+00     16.0009      0.0096 -1.8903e-03 -1.6845e+01 -7.4261e-02 -3.4711e-04  7.1925e-02 -1.3980e+01 
 7.6000e-01  6.0001e-02  1.8289e+00     16.0000      0.0096 -3.9606e-04 -1.7617e+01 -1.4573e-02 -7.2116e-05  3.1194e-02 -1.4277e+02 
 7.8000e-01  6.0000e-02  1.4387e+00     16.0000      0.0096 -1.8632e-05 -2.5411e+01 -6.2794e-04 -2.4000e-01  9.8819e-03 -3.4238e+02 
 1.3550      6.0000e-02  8.1250e-01     16.0000      0.0000 -7.8134e-07 -3.1312e+01  0.0000e+00 -4.8000e-01  8.9254e-04 -2.9505e+02 
