#r          c           twist       t/c         t           dc/dr       dtwist/dr   d(t/c)/dr   dt/dr       c''         twist''     
 2.4500e-01  1.0000e-01  9.5625e+00     21.0000      0.0210 -5.5333e-03  1.4287e+01 -7.5667e+00 -8.7224e-03 -1.3016e+00 -1.1806e+03 
 2.6000e-01  9.9917e-02  9.7768e+00     20.8865      0.0209 -2.5057e-02 -3.4229e+00 -1.5014e+01 -2.0145e-02 -1.8062e+00 -1.1490e+03 
 2.8000e-01  9.9123e-02  9.4427e+00     20.4745      0.0203 -6.8750e-02 -2.5930e+01 -2.4860e+01 -3.8515e-02 -2.4842e+00 -8.5387e+02 
 3.0000e-01  9.7167e-02  8.7396e+00     19.8921      0.0193 -1.2443e-01 -3.7578e+01 -3.0265e+01 -5.3969e-02 -2.7254e+00 -2.3333e+02 
 3.2000e-01  9.4146e-02  7.9396e+00     19.2639      0.0181 -1.7777e-01 -3.5263e+01 -2.9125e+01 -6.0555e-02 -1.0858e+00  1.9369e+02 
 3.6000e-01  8.6501e-02  6.6238e+00     18.1446      0.0157 -1.8957e-01 -2.5956e+01 -2.4050e+01 -5.5514e-02  8.1615e-02  2.6182e+02 
 4.0000e-01  7.8980e-02  5.8631e+00     17.3399      0.0137 -1.7124e-01 -1.4318e+01 -1.6711e+01 -4.3236e-02  6.7875e-01  2.2945e+02 
 4.4000e-01  7.2802e-02  5.4784e+00     16.8077      0.0122 -1.3528e-01 -7.6000e+00 -1.0906e+01 -3.0890e-02  8.9984e-01  1.1119e+02 
 4.8000e-01  6.8158e-02  5.2551e+00     16.4674      0.0112 -9.9250e-02 -5.4225e+00 -6.8975e+00 -2.1155e-02  8.3156e-01  1.7375e+01 
 5.2000e-01  6.4862e-02  5.0446e+00     16.2559      0.0105 -6.8750e-02 -6.2100e+00 -4.2238e+00 -1.3968e-02  6.8172e-01 -4.0453e+01 
 5.6000e-01  6.2658e-02  4.7583e+00     16.1295      0.0101 -4.4713e-02 -8.6588e+00 -2.4713e+00 -8.7829e-03  5.2469e-01 -6.9672e+01 
 6.0000e-01  6.1285e-02  4.3519e+00     16.0582      0.0098 -2.6775e-02 -1.1784e+01 -1.3463e+00 -5.1334e-03  3.8188e-01 -7.5422e+01 
 6.4000e-01  6.0516e-02  3.8156e+00     16.0218      0.0097 -1.4163e-02 -1.4692e+01 -6.5250e-01 -2.6667e-03  2.5781e-01 -5.8922e+01 
 6.8000e-01  6.0152e-02  3.1765e+00     16.0060      0.0096 -6.1500e-03 -1.6498e+01 -2.6125e-01 -1.1422e-03  1.5344e-01 -2.6906e+01 
 7.2000e-01  6.0024e-02  2.4958e+00     16.0009      0.0096 -1.8875e-03 -1.6845e+01 -7.5000e-02 -3.4711e-04  7.1875e-02 -1.4010e+01 
 7.6000e-01  6.0001e-02  1.8289e+00     16.0000      0.0096 -4.0000e-04 -1.7618e+01 -1.5000e-02 -7.3004e-05  3.1042e-02 -1.4275e+02 
 7.8000e-01  6.0000e-02  1.4387e+00     16.0000      0.0096 -2.5000e-05 -2.5410e+01  0.0000e+00 -2.4000e-01  1.0000e-02 -3.4229e+02 
 8.0000e-01  6.0000e-02  8.1250e-01     16.0000      0.0000  0.0000e+00 -3.1310e+01  0.0000e+00 -4.8000e-01  1.2500e-03 -2.9500e+02 
